Scraping Date,Section,Product,Discount
2026-02-12,Footwear,Squash Black Men's Thong Flip Flop,43
2026-02-14,Footwear,Radhe Creation Cream Polish Suitable for Black Color,40
2026-02-12,Kids Fashion,Cool and NIce kids Multi color Bermuda pack of 5,50
2026-02-14,Kids Fashion,"A.W.A KIDS FASHION Cotton Frock For Girls ( Pack of 1 , Blue )",52
2026-02-10,Kids Fashion,"A.W.A KIDS FASHION Cotton Blend Frock For Girls ( Pack of 1 , Pink )",27
2026-02-13,Kids Fashion,"A.W.A KIDS FASHION Cotton Blend Frock For Girls ( Pack of 1 , Light Blue )",44
2026-02-14,Kids Fashion,"Villata fashion Net Frock For Girls ( Pack of 1 , Red )",36
2026-02-13,Kids Fashion,"Arshia Fashions Net Lehenga Choli Sets For Girls ( , Blue )",48
2026-02-13,Kids Fashion,"Arshia Fashions Girls Cotton Blend Kurti with Sharara ( Pack of 1 , Pink )",55
2026-02-15,Kids Fashion,"Arshia Fashions Cotton Blend Shirt Dress For Girls ( Pack of 1 , Blue )",18
2026-02-13,Kids Fashion,"Nios Fashion Girls Cotton Polyester Jeans ( Pack of 2 , Multicolor 4 )",57
2026-02-11,Kids Fashion,Arshia Fashions Pack of 1 Boys Cotton Blend T-Shirt & Jeans Set ( Blue ),44
2026-02-12,Kids Fashion,KASEERA CUTE STYLISH AND TRENDING KIDS GYM VEST PACK OF 5,57
2026-02-11,Kids Fashion,"Villata fashion Net Frock For Girls ( Pack of 1 , White )",25
2026-02-10,Kids Fashion,NI FASHION Pack of 1 Boys Cotton Blend T-Shirt ( Maroon ),46
2026-02-10,Kids Fashion,"PMD Fashion Net Lehenga Choli Set For Girls ( Pack of 1 , Charcoal )",40
2026-02-15,Kids Fashion,"Arshia Fashions Polyester Shirt Dress For Girls ( Pack of 1 , Multicolor )",44
2026-02-10,Kids Fashion,"Villata fashion Net Frock For Girls ( Pack of 1 , Red )",50
2026-02-12,Kids Fashion,NAYPAL FASHION STYLE Pack of 1 Boys & Girls Cotton Blend T-Shirt ( Pink ),27
2026-02-10,Kids Fashion,"Arshia Fashions Polyester Blend Frock For Girls ( Pack of 1 , Red )",60
2026-02-14,Kids Fashion,"Villata fashion Net Frock For Girls ( Pack of 1 , Red )",33
2026-02-12,Kids Fashion,"Villata fashion Net Frock For Girls ( Pack of 1 , White )",54
2026-02-11,Men Clothing,TAZO Nylon Men's Windcheater Jacket - Blue ( Pack of 1 ),52
2026-02-11,Men Clothing,TrendsTalk Nylon Men's Windcheater Jacket - Gold ( Pack of 1 ),50
2026-02-11,Men Clothing,Reya Cotton Blend Men's Casual Jacket - Black ( Pack of 1 ),44
2026-02-11,Men Clothing,Montrez Cotton Blend Men's Casual Jacket - White ( Pack of 1 ),55
2026-02-14,Men Clothing,Mashaykh Polyester Men's Windcheater Jacket - White ( Pack of 1 ),15
2026-02-13,Men Clothing,eddicted Polyester Men's Puffer Jacket - Blue ( Pack of 1 ),49
2026-02-10,Men Clothing,Mashaykh Polyester Men's Windcheater Jacket - Black ( Pack of 1 ),38
2026-02-13,Men Clothing,eddicted Polyester Men's Puffer Jacket - Navy Blue ( Pack of 1 ),29
2026-02-10,Men Clothing,yellow tree Polyester Men's Casual Jacket - Black ( Pack of 1 ),41
2026-02-13,Men Clothing,eddicted Polyester Men's Quilted & Bomber Jacket - Maroon ( Pack of 1 ),37
2026-02-10,Men Clothing,Forbro Nylon Men's Windcheater Jacket - Black ( Pack of 1 ),43
2026-02-15,Men Clothing,IF-INDIAN FORT Polyester Men's Quilted & Bomber Jacket - Navy ( Pack of 1 ),30
2026-02-11,Men Clothing,yellow tree Polyester Men's Casual Jacket - White ( Pack of 1 ),38
2026-02-10,Men Clothing,Rigo Fleece Men's Casual Jacket - Grey ( Pack of 1 ),37
2026-02-10,Men Clothing,AZF Nylon Men's Casual Jacket - Wine ( Pack of 1 ),43
2026-02-10,Men Clothing,yellow tree Polyester Men's Casual Jacket - Multicolor ( Pack of 1 ),50
2026-02-13,Men Clothing,FTX Denim Men's Denim Jacket - Light Blue ( Pack of 1 ),52
2026-02-14,Men Clothing,eddicted Nylon Men's Biker Jacket - Grey ( Pack of 1 ),27
2026-02-15,Men Clothing,Montrez Cotton Blend Men's Casual Jacket - Olive ( Pack of 1 ),30
2026-02-13,Men Clothing,eddicted Nylon Men's Puffer Jacket - Maroon ( Pack of 1 ),56
2026-02-13,Women Clothing,Sheetal associates Women Polyester Printed Fit & Flare Dress ( Blue ),16
2026-02-12,Women Clothing,wanquila Women Lycra Solid Bodycon Dress ( Beige ),34
2026-02-13,Women Clothing,"KNOWZY Rayon Women Dupatta ( Magenta , Pack of 1 )",32
2026-02-10,Women Clothing,Sheetal associates Women Crepe Printed A-line Dress ( Orange ),24
2026-02-11,Women Clothing,Fabverse Women Lycra Solid Bodycon Dress ( Black ),40
2026-02-11,Women Clothing,Sheetal associates Women Crepe Printed Shirt Dress ( Green ),27
2026-02-12,Women Clothing,Shri Hub Cotton Women White Salwar,25
2026-02-12,Women Clothing,TUHIRAJ Women Crepe Printed Gown ( Brown ),59
2026-02-10,Women Clothing,Sheetal associates Women Polyester Printed Fit & Flare Dress ( Brown ),16
2026-02-12,Women Clothing,Madhusudan Women Rayon Printed Ethnic Dress ( Pink ),16
2026-02-12,Women Clothing,Sheetal associates Women Crepe Printed Fit & Flare Dress ( White ),22
2026-02-11,Women Clothing,JASH CREATION Women Cotton Blend Printed Fit & Flare Dress ( Pink ),40
2026-02-11,Women Clothing,Sheetal associates Women Crepe Printed Shirt Dress ( White ),42
2026-02-13,Women Clothing,ALTECIA Women Net Indo-Western Semi Stitched Lehenga Choli ( Black ),42
2026-02-13,Women Clothing,Honky Tonky Women Polyester Self Design A-line Dress ( Pink ),38
2026-02-10,Women Clothing,THE LADIES FASHION Women Viscose Rayon Maxi ( White ),33
2026-02-11,Women Clothing,Sheetal associates Women Crepe Printed A-line Dress ( White ),54
2026-02-15,Women Clothing,NIVESTANA Women Viscose Rayon Gown ( Purple ),50
2026-02-11,Women Clothing,shrihub - Cotton Red Women's Semi Patiala Salwar ( Pack of 1 ),21
2026-02-13,Women Clothing,MAYRAAFASHION Net Self Design Regular Saree With Unstitched Blouse Piece ( Pink ),16
